scenario,split,observations,mean_seconds,median_seconds,std_seconds,coefficient_of_variation,p90_seconds,p95_seconds,p99_seconds,max_seconds
high_volume,train,345624,0.0016369609749322968,0.001,0.013980882234179533,8.540754757307376,0.001,0.003,0.007,1.47
high_volume,validation,113767,0.0016629163114084053,0.001,0.012731565203650201,7.6561671301830065,0.001,0.003,0.008,0.994
high_volume,test,76276,0.0017484792070900418,0.001,0.01612042589933956,9.219684074006492,0.001,0.002,0.007,1.093
bursty,train,898,0.9458062360801782,0.007,4.446076114948616,4.70083188854309,0.9292000000000004,1.276449999999999,27.145109999999995,41.671
bursty,validation,576,0.7576475694444444,0.007,3.792201244242501,5.00523118819372,0.9115,1.07925,24.0885,36.027
bursty,test,346,0.8910838150289015,0.006,4.474414227999738,5.02131690929053,0.921,1.0427499999999998,26.644500000000004,37.72
diurnal,train,4033,0.11369972725018598,0.078,0.637991193549946,5.611193702743931,0.109,0.14,0.48715999999998577,24.862
diurnal,validation,1344,0.1219092261904762,0.078,0.7726755266207718,6.338121820357635,0.109,0.14,0.267239999999998,21.955
diurnal,test,1346,0.10616641901931648,0.093,0.19143850676863217,1.803192652978159,0.14,0.17375,0.2746999999999994,6.819
