scenario,horizon,method,mae,rmse,stabilized_mape,upper_coverage,underprediction_rate,average_log_width,normalized_upper_width
bursty,1,last_value,0.5353159851301115,2.822725971167296,0.23521477334234134,,,,
bursty,1,seasonal_naive,0.6183395291201983,3.046724122896737,0.21828052839498743,,,,
bursty,1,ewma,0.6008715647042576,2.546544410969956,0.31842957363066643,,,,
bursty,1,gp_mean,0.44433114511560595,2.3756150258200415,0.11956743888669943,,,,
bursty,1,gp_ucb,,,,0.9727385377942999,0.027261462205700124,0.01724191384229729,0.017318559968421004
bursty,2,last_value,0.6394052044609665,3.112910319420302,0.31800516008987934,,,,
bursty,2,seasonal_naive,0.6183395291201983,3.046724122896737,0.21828052839498743,,,,
bursty,2,ewma,0.6751808756308473,2.71074206199099,0.3589329178362804,,,,
bursty,2,gp_mean,0.5908878838831976,2.610993406043675,0.25844407726710017,,,,
bursty,2,gp_ucb,,,,0.9690210656753407,0.030978934324659233,0.021197677606922836,0.025075686665665328
bursty,3,last_value,0.7236679058240396,3.314569243340249,0.3702562959841379,,,,
bursty,3,seasonal_naive,0.6183395291201983,3.046724122896737,0.21828052839498743,,,,
bursty,3,ewma,0.7107790322341144,2.8005589324078413,0.37840059156980066,,,,
bursty,3,gp_mean,0.49288918631234485,2.294491386299484,0.16314021975701556,,,,
bursty,3,gp_ucb,,,,0.9690210656753407,0.030978934324659233,0.02234107134008263,0.023556647675441526
diurnal,1,last_value,0.6741016109045849,0.8285488426365996,0.2814126394052045,,,,
diurnal,1,seasonal_naive,0.007434944237918215,0.12194215216993848,0.003800082610491532,,,,
diurnal,1,ewma,0.45754216812932513,0.5019502077419951,0.19146603445121554,,,,
diurnal,1,gp_mean,0.007396248122802034,0.10591245769796793,0.004050004759485213,,,,
diurnal,1,gp_ucb,,,,0.9962825278810409,0.0037174721189591076,3.169215361442308e-06,3.3848418429877223e-06
diurnal,2,last_value,0.007434944237918215,0.12194215216993848,0.003800082610491532,,,,
diurnal,2,seasonal_naive,0.007434944237918215,0.12194215216993848,0.003800082610491532,,,,
diurnal,2,ewma,0.36645561383556,0.39934387006522826,0.15349236795995472,,,,
diurnal,2,gp_mean,0.007332757628745608,0.10253158673158155,0.00376563558011811,,,,
diurnal,2,gp_ucb,,,,0.6926889714993805,0.3073110285006196,6.89161043097515e-05,6.860029449210307e-05
diurnal,3,last_value,0.6716232961586122,0.8255522728104521,0.28033870301528296,,,,
diurnal,3,seasonal_naive,0.007434944237918215,0.12194215216993848,0.003800082610491532,,,,
diurnal,3,ewma,0.5211137704899482,0.561428500657153,0.21791025633771474,,,,
diurnal,3,gp_mean,0.007209152691427381,0.10144140690195325,0.0037278039375135525,,,,
diurnal,3,gp_ucb,,,,0.9838909541511772,0.0161090458488228,8.536833000042933e-05,8.524498170594716e-05
high_volume,1,last_value,60.79429987608426,119.73128215153531,10.511665112600886,,,,
high_volume,1,seasonal_naive,156.77695167286245,227.78713785787386,70.1709364943131,,,,
high_volume,1,ewma,66.82231140818273,117.7937563807291,21.416642889628395,,,,
high_volume,1,gp_mean,101.1185489720032,170.9753013057553,13.949918803286483,,,,
high_volume,1,gp_ucb,,,,0.9033457249070632,0.09665427509293681,3.1446796508422703,285.8445917162655
high_volume,2,last_value,70.37422552664188,136.33709771421374,17.427646910378193,,,,
high_volume,2,seasonal_naive,156.77695167286245,227.78713785787386,70.1709364943131,,,,
high_volume,2,ewma,75.51416806036754,129.21572407030703,26.122235752999728,,,,
high_volume,2,gp_mean,98.95657622518723,171.41627924920644,10.240133829183474,,,,
high_volume,2,gp_ucb,,,,0.885997521685254,0.11400247831474597,3.195833718160986,238.3568085531623
high_volume,3,last_value,79.25898389095416,146.10939528426834,21.84608754597585,,,,
high_volume,3,seasonal_naive,156.77695167286245,227.78713785787386,70.1709364943131,,,,
high_volume,3,ewma,82.19237079011776,137.4930833268488,29.87115332318301,,,,
high_volume,3,gp_mean,102.89211509269316,173.89575699834904,14.118626244124954,,,,
high_volume,3,gp_ucb,,,,0.8773234200743495,0.12267657992565056,3.236516251012437,339.0069276010689
