profile,n,rho,d,seed,l1_tail_error,max_tail_error,jobs_per_server_error
paper,25,0.9,2,1738,0.11656169374184527,0.04654129088563872,0.11620169374184552
paper,50,0.5,1,1729,0.016244179686590556,0.004066666666666663,0.01591333333424294
paper,50,0.5,1,1730,0.017342499999090488,0.00436666666666663,0.016143333334242893
paper,50,0.5,1,1731,0.006636236978257147,0.00217666666666666,0.003333333334242683
paper,50,0.5,1,1732,0.009979999999090439,0.0023366666666666536,0.008773333332423805
paper,50,0.5,1,1733,0.009889791665757142,0.0026133333333333286,0.009530000000909533
paper,50,0.5,1,1734,0.014886562499090528,0.0037233333333333563,0.004023333334242762
paper,50,0.5,1,1735,0.010758902993882165,0.0033533333333333193,0.0006766666675761535
paper,50,0.5,1,1736,0.00787291666575715,0.0019966666666666466,0.0072933333342426465
paper,50,0.5,1,1737,0.008208736978257185,0.002973333333333328,0.006669999999090459
paper,50,0.5,1,1738,0.0044239906810566755,0.00134999999999999,0.0018433333324238133
paper,50,0.5,2,1729,0.004390316220869545,0.0021799999999999597,0.004390315289547031
paper,50,0.5,2,1730,0.011176982887536222,0.004989999999999967,0.01117698195621375
paper,50,0.5,2,1731,0.007013649554202917,0.003183333333333316,0.007013648622880342
paper,50,0.5,2,1732,0.003970316220869566,0.002163333333333295,0.003970315289546944
paper,50,0.5,2,1733,0.002333649554202953,0.0012433333333333185,0.0023336486228804354
paper,50,0.5,2,1734,0.005653649554202974,0.0032266666666666555,0.00476635137711956
paper,50,0.5,2,1735,0.008263649554202945,0.0036033333333332918,0.008263648622880426
paper,50,0.5,2,1736,0.007373649554202887,0.003533333333333305,0.007373648622880258
paper,50,0.5,2,1737,0.0033469828875362494,0.00216666666666665,0.0009863513771195542
paper,50,0.5,2,1738,0.001733649554202951,0.0016141666666666648,0.0015603152895470318
paper,50,0.7,1,1729,0.05997609065080647,0.006753333333333389,0.05489333333526414
paper,50,0.7,1,1730,0.026695538541089265,0.003594299999999967,0.026659999998069672
paper,50,0.7,1,1731,0.031138449531403392,0.005096666666666749,0.017276666668597063
paper,50,0.7,1,1732,0.017931669664253618,0.002872366666666709,0.00755666666859689
paper,50,0.7,1,1733,0.04600162707896135,0.005710000000000048,0.044993333335263674
paper,50,0.7,1,1734,0.03832342960000729,0.0047566666666666035,0.014216666664736533
paper,50,0.7,1,1735,0.0831818502527601,0.010543333333333405,0.08309666666859705
paper,50,0.7,1,1736,0.028919087942592472,0.00390000000000007,0.025596666668596946
paper,50,0.7,1,1737,0.034018797737845156,0.006626666666666559,0.028626666664736344
paper,50,0.7,1,1738,0.02426707673102329,0.0028933333333333033,0.01088333333526359
paper,50,0.7,2,1729,0.023062361126105217,0.008856666666666735,0.023062360777602153
paper,50,0.7,2,1730,0.00924569445943834,0.004075700000000043,0.002992360777601899
paper,50,0.7,2,1731,0.018792361126105193,0.007992366666666709,0.018792360777602157
paper,50,0.7,2,1732,0.010164294459438212,0.00645999999999991,0.0086043058890648
paper,50,0.7,2,1733,0.012439027792771893,0.006242366666666707,0.012439027444268724
paper,50,0.7,2,1734,0.008225694459438321,0.0029733333333332723,0.001580972555731197
paper,50,0.7,2,1735,0.02817236112610516,0.010039033333333364,0.02817236077760188
paper,50,0.7,2,1736,0.015952361126105246,0.006725700000000043,0.015952360777602204
paper,50,0.7,2,1737,0.01340569445943832,0.005829033333333372,0.003632360777601873
paper,50,0.7,2,1738,0.00985902744426858,0.0030766666666666165,0.0023676392223979104
paper,50,0.9,1,1729,1.2202916555589773,0.034319403909999935,1.216570000008316
paper,50,0.9,1,1730,0.47650823351696064,0.016291314448149186,0.4476233333416477
paper,50,0.9,1,1731,0.36568316596208444,0.014423756885027852,0.1751266666583522
paper,50,0.9,1,1732,0.2468203691471573,0.011908226566666569,0.22778666667498193
paper,50,0.9,1,1733,0.5754886329924602,0.016379576448305483,0.5711066666749804
paper,50,0.9,1,1734,0.18783644665835028,0.00579130196366584,0.17087333332501942
paper,50,0.9,1,1735,0.5190735622120004,0.024019510999999882,0.497000000008315
paper,50,0.9,1,1736,0.507933586633626,0.01398462421897205,0.507390000008316
paper,50,0.9,1,1737,0.522337774827206,0.013820201230814705,0.3551433333416494
paper,50,0.9,1,1738,0.5959933333250176,0.017733929423333405,0.5959933333250174
paper,50,0.9,2,1729,0.09767502707947243,0.029215534572017587,0.09767502707517872
paper,50,0.9,2,1730,0.05165882707517877,0.019444624218972056,0.03265169374184529
paper,50,0.9,2,1731,0.073291693741845,0.024752201238684268,0.07329169374184552
paper,50,0.9,2,1732,0.04335169374613908,0.016758867905350916,0.04118502707517857
paper,50,0.9,2,1733,0.06194169374613907,0.021275534572017585,0.06194169374184533
paper,50,0.9,2,1734,0.07870836040851163,0.0275355345720176,0.0787083604085117
paper,50,0.9,2,1735,0.14584169374184516,0.043885534572017604,0.1458416937418452
paper,50,0.9,2,1736,0.062428360412805875,0.024764624218972055,0.06217502707517886
paper,50,0.9,2,1737,0.0466954937461395,0.014521290885638728,0.0010550270751785717
paper,50,0.9,2,1738,0.04604549374613952,0.013521290885638727,0.0019749729248212944
paper,100,0.5,1,1729,0.008121666665757138,0.0027650000000000174,0.004440000000909494
paper,100,0.5,1,1730,0.007328017577215528,0.0017500000000000016,0.006409999999090532
paper,100,0.5,1,1731,0.006488488768621806,0.001355000000000002,0.003831666665757183
paper,100,0.5,1,1732,0.00605179606028841,0.002228333333333332,0.004726666665757273
paper,100,0.5,1,1733,0.009646785875046656,0.001943333333333297,0.00723333333424292
paper,100,0.5,1,1734,0.01037520507721552,0.0018500000000000044,0.010228333334242778
paper,100,0.5,1,1735,0.01175696288971548,0.003909999999999969,0.011601666667576227
paper,100,0.5,1,1736,0.005741458332423897,0.0013983333333333348,0.005008333334242998
