experiment,scenario,controller,n,delay_bins,service_model,metric,mean,median,ci95_low,ci95_high,seeds,total_seeds
delay_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,slo_violation_fraction,0.464021265774874,0.46707833611176086,0.4458676433148693,0.4805654680950406,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,2,empirical,mean_wait,11767.342106451193,11460.64914635721,9992.873688811873,13614.432723907468,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,2,empirical,p95_wait,49676.20845541503,50680.53321773413,42888.96665560231,56769.03489833496,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,2,empirical,p99_wait,62506.56618100094,60990.654268153245,53777.716865591676,72186.5176956528,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,2,empirical,mean_response,11814.546980336174,11506.327036025396,10039.827290521293,13662.24614965824,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,2,empirical,p95_response,49715.04665806901,50720.858287745636,42936.89231134642,56800.691504061746,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,2,empirical,mean_resource_fraction,0.11118055555555557,0.11118055555555556,0.11118055555555557,0.11118055555555557,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,2,empirical,slo_violation_fraction,0.46813825462616404,0.46818438840708826,0.4524745594189763,0.4835464507195195,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,2,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,0,empirical,mean_wait,16391.534081166603,15611.15239267461,14905.905985116371,18233.984902606466,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,0,empirical,p95_wait,62076.5678015542,60918.385940433174,55544.67555888728,69289.45139580162,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,0,empirical,p99_wait,75337.94021336005,77551.53584035393,68538.59878342616,81885.50993667355,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,0,empirical,mean_response,16438.73895505158,15656.830282342795,14952.16619292054,18281.484131745634,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,0,empirical,p95_response,62121.646979204124,60954.74885064359,55583.51780336279,69337.22578441424,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,0,empirical,mean_resource_fraction,0.13125000000000003,0.13125,0.13125000000000003,0.13125000000000003,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,0,empirical,slo_violation_fraction,0.5009124317500531,0.5031529358531919,0.4956900014949078,0.5042217268700162,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,0,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
