profile,config_id,experiment,scenario,controller,seed,n,delay_bins,service_model,jobs,metric_status,metric_reason,mean_wait,mean_response,p95_wait,p99_wait,p95_response,mean_resource_fraction,server_time_resource_cost,scaling_actions,mean_absolute_target_change,overload_fraction,slo_violation_fraction
paper,paper,primary,high_volume,reactive,1732,100,1,empirical,720000,ok,,11211.902509740756,11215.609816528997,41868.13506687953,54249.95441787413,41868.97466419572,0.2733680555555555,2361900.0,77,4.808362369337979,0.1736111111111111,0.8234972222222222
paper,paper,primary,high_volume,seasonal_mf_mpc,1732,100,1,empirical,720000,ok,,137899.6902054045,137903.39751219278,301289.83753792965,315125.4905070314,301292.66402643296,0.2924305555555556,2526600.0,93,5.630662020905923,0.2430555555555555,0.7423833333333333
paper,paper,primary,high_volume,ewma_mf_mpc,1732,100,1,empirical,720000,ok,,4259.313181489097,4263.020488277336,17355.926173107753,29157.37801425293,17358.05263022431,0.2735416666666667,2363400.0,105,4.118466898954704,0.1736111111111111,0.7261680555555555
paper,paper,primary,high_volume,gp_mean_mf_mpc,1732,100,1,empirical,720000,ok,,7576.208991075774,7579.9162978640115,35913.427467290465,46953.732267176405,35916.28903182381,0.3834722222222222,3313200.0,103,1.9372822299651569,0.2361111111111111,0.5799791666666667
paper,paper,primary,high_volume,gp_ucb_mf_mpc,1732,100,1,empirical,720000,ok,,382.11943942055296,385.8267462087919,2215.3146255678803,6753.296606791928,2236.2635470687146,0.7580208333333333,6549300.0,108,3.4111498257839723,0.1458333333333333,0.2883027777777778
paper,paper,primary,high_volume,oracle_mf_mpc,1732,100,1,empirical,720000,ok,,318.2240511064187,321.9313578946578,1591.6337656742571,5048.093763535371,1596.864475512256,0.2814930555555556,2432100.0,98,6.02787456445993,0.1805555555555555,0.3575388888888889
paper,paper,primary,high_volume,static,1734,100,1,empirical,720000,ok,,137.20719964771325,140.86780685677928,633.6849085312655,2626.071982017836,646.1528045058991,1.0,8640000.0,0,0.0,0.1215277777777777,0.2469722222222222
paper,paper,primary,high_volume,reactive,1734,100,1,empirical,720000,ok,,12803.614779209933,12807.275386418996,54142.4963516078,61631.93491318244,54144.26508957971,0.2733680555555555,2361900.0,77,4.808362369337979,0.1736111111111111,0.8072083333333333
paper,paper,primary,high_volume,seasonal_mf_mpc,1734,100,1,empirical,720000,ok,,139113.25754560198,139116.91815281106,317448.51966314774,325612.3635434539,317449.5738853195,0.2924305555555556,2526600.0,93,5.630662020905923,0.2430555555555555,0.7408208333333334
paper,paper,primary,high_volume,ewma_mf_mpc,1734,100,1,empirical,720000,ok,,3951.733671060345,3955.394278269412,18796.99902271385,27905.86162328389,18799.41214047318,0.2735416666666667,2363400.0,105,4.118466898954704,0.1736111111111111,0.6996569444444445
paper,paper,primary,high_volume,gp_mean_mf_mpc,1734,100,1,empirical,720000,ok,,7057.550078134518,7061.210685343584,29953.7117991399,43226.13877193944,29958.35306425545,0.3834722222222222,3313200.0,103,1.9372822299651569,0.2361111111111111,0.5785097222222222
paper,paper,primary,high_volume,gp_ucb_mf_mpc,1734,100,1,empirical,720000,ok,,354.7537787095731,358.4143859186392,2023.5135832888136,6531.622827796327,2041.6272465552388,0.7580208333333333,6549300.0,108,3.4111498257839723,0.1458333333333333,0.2837097222222222
paper,paper,primary,high_volume,oracle_mf_mpc,1734,100,1,empirical,720000,ok,,373.1680977727237,376.8287049817897,1994.30724746096,5501.9780970394095,2006.8389759630488,0.2814930555555556,2432100.0,98,6.02787456445993,0.1805555555555555,0.3698666666666667
paper,paper,primary,high_volume,static,1731,100,1,empirical,720000,ok,,108.52791826482306,112.007105544605,480.10947290281285,2119.1411035053,491.99440671525855,1.0,8640000.0,0,0.0,0.1215277777777777,0.2372375
paper,paper,primary,high_volume,reactive,1731,100,1,empirical,720000,ok,,9461.216201272724,9464.695388552507,31499.01497509633,35919.75449827811,31500.168330274355,0.2733680555555555,2361900.0,77,4.808362369337979,0.1736111111111111,0.80975
paper,paper,primary,high_volume,seasonal_mf_mpc,1731,100,1,empirical,720000,ok,,130501.02314694547,130504.50233422524,284944.01388863573,294900.52638862794,284944.34540615685,0.2924305555555556,2526600.0,93,5.630662020905923,0.2430555555555555,0.7396902777777777
paper,paper,primary,high_volume,ewma_mf_mpc,1731,100,1,empirical,720000,ok,,3988.384598081792,3991.863785361573,16628.75696084941,23928.888028300986,16631.43718832131,0.2735416666666667,2363400.0,105,4.118466898954704,0.1736111111111111,0.7116888888888889
paper,paper,primary,high_volume,gp_mean_mf_mpc,1731,100,1,empirical,720000,ok,,6562.939821361802,6566.419008641586,28472.56298153318,38113.84596133877,28476.075408802943,0.3834722222222222,3313200.0,103,1.9372822299651569,0.2361111111111111,0.5755305555555555
paper,paper,primary,high_volume,gp_ucb_mf_mpc,1731,100,1,empirical,720000,ok,,305.2866283511221,308.7658156309041,1717.3475727613732,5329.69824526206,1735.3386184276155,0.7580208333333333,6549300.0,108,3.4111498257839723,0.1458333333333333,0.2744472222222222
paper,paper,primary,high_volume,oracle_mf_mpc,1731,100,1,empirical,720000,ok,,350.7256078074041,354.2047950871861,1993.0471752654607,5554.187484022954,2000.765716479991,0.2814930555555556,2432100.0,98,6.02787456445993,0.1805555555555555,0.3665152777777777
paper,paper,primary,high_volume,static,1735,100,1,empirical,720000,ok,,132.88793140394688,136.50692645487035,580.4125770737319,2702.2045716654634,592.32355343603,1.0,8640000.0,0,0.0,0.1215277777777777,0.2448777777777777
paper,paper,primary,high_volume,reactive,1735,100,1,empirical,720000,ok,,9077.35856057824,9080.977555629164,38948.26688330337,46557.37786468887,38948.80479936323,0.2733680555555555,2361900.0,77,4.808362369337979,0.1736111111111111,0.8435361111111112
