status,scenario,treatment,comparator,metric,formula,seeds,point_estimate_percent_reduction,ci95_low_percent_reduction,ci95_high_percent_reduction,treatment_resource_fraction,comparator_resource_fraction,relative_resource_mismatch,treatment_match_status,comparator_match_status,strict_matched_budget,matching_tolerance
ok,high_volume,ewma_mf_mpc,reactive,paired per-seed p95 simulated waiting time,100 * (comparator - treatment) / comparator,10,56.73854956953088,52.77523076880932,60.55093510798233,0.2735416666666667,0.27336805555555543,0.000635081925568904,matched,reference,True,0.02
ok,high_volume,gp_ucb_mf_mpc,reactive,paired per-seed p95 simulated waiting time,100 * (comparator - treatment) / comparator,10,94.39942950838858,93.48503444857707,95.27280909131187,0.7580208333333333,0.27336805555555543,1.7728947034167417,unmatched,reference,False,0.02
ok,high_volume,gp_ucb_mf_mpc,gp_mean_mf_mpc,paired per-seed p95 simulated waiting time,100 * (comparator - treatment) / comparator,10,93.4530240292722,92.96584598473753,93.82697697764901,0.7580208333333333,0.3834722222222222,0.9767294458529516,unmatched,matched,False,0.02
ok,bursty,gp_ucb_mf_mpc,gp_mean_mf_mpc,paired per-seed p95 simulated waiting time,100 * (comparator - treatment) / comparator,10,-2.5200690560924093,-14.760281224778499,8.949031542990843,0.12371527777777772,0.1171875,0.05570370370370317,unmatched,unmatched,False,0.02
