scenario,controller,alpha,validation_resource_fraction,reference_budget,selection_source
high_volume,seasonal_mf_mpc,0.001,0.9866459627329192,0.5220372670807454,validation_alpha_search
high_volume,seasonal_mf_mpc,0.004216965034285823,0.9859751552795031,0.5220372670807454,validation_alpha_search
high_volume,seasonal_mf_mpc,0.01,0.9856770186335403,0.5220372670807454,validation_alpha_search
high_volume,seasonal_mf_mpc,0.01778279410038923,0.7770186335403727,0.5220372670807454,validation_alpha_search
high_volume,seasonal_mf_mpc,0.03,0.7146956521739131,0.5220372670807454,validation_alpha_search
high_volume,seasonal_mf_mpc,0.07498942093324558,0.6876273291925465,0.5220372670807454,validation_alpha_search
high_volume,seasonal_mf_mpc,0.1,0.6774285714285715,0.5220372670807454,validation_alpha_search
high_volume,seasonal_mf_mpc,0.3,0.6554534161490683,0.5220372670807454,validation_alpha_search
high_volume,seasonal_mf_mpc,0.31622776601683794,0.6549316770186335,0.5220372670807454,validation_alpha_search
high_volume,seasonal_mf_mpc,1.0,0.6350310559006211,0.5220372670807454,validation_alpha_search
high_volume,seasonal_mf_mpc,1.333521432163324,0.631416149068323,0.5220372670807454,validation_alpha_search
high_volume,seasonal_mf_mpc,3.0,0.6221987577639752,0.5220372670807454,validation_alpha_search
high_volume,seasonal_mf_mpc,5.623413251903491,0.615639751552795,0.5220372670807454,validation_alpha_search
high_volume,seasonal_mf_mpc,23.71373705661655,0.6055403726708074,0.5220372670807454,validation_alpha_search
high_volume,seasonal_mf_mpc,100.0,0.6036024844720497,0.5220372670807454,validation_alpha_search
high_volume,ewma_mf_mpc,0.001,0.9977639751552795,0.5220372670807454,validation_alpha_search
high_volume,ewma_mf_mpc,0.004216965034285823,0.9977639751552795,0.5220372670807454,validation_alpha_search
high_volume,ewma_mf_mpc,0.01,0.9977639751552795,0.5220372670807454,validation_alpha_search
high_volume,ewma_mf_mpc,0.01778279410038923,0.8568198757763974,0.5220372670807454,validation_alpha_search
high_volume,ewma_mf_mpc,0.03,0.7742608695652174,0.5220372670807454,validation_alpha_search
high_volume,ewma_mf_mpc,0.07498942093324558,0.7273291925465838,0.5220372670807454,validation_alpha_search
high_volume,ewma_mf_mpc,0.1,0.7148447204968944,0.5220372670807454,validation_alpha_search
high_volume,ewma_mf_mpc,0.3,0.6717018633540373,0.5220372670807454,validation_alpha_search
high_volume,ewma_mf_mpc,0.31622776601683794,0.6698757763975155,0.5220372670807454,validation_alpha_search
